modem_index,usb_bus,usb_device,hub_path,imei,iccid,phone_number,operator
0,001,003,Dev001 → Dev002 → Port003,865827078941325,8965012306052989699,+6580291718,Singtel Singtel
1,001,004,Dev001 → Dev002 → Port004,865827078383361,89860040191833946279,+8615089255778,Singtel CMCC
2,001,005,Dev001 → Dev057 → Dev060 → Dev062 → Dev094 → Port002,865827078959202,89860118803628668805,+8618612466155,StarHub
3,001,006,Dev001 → Dev057 → Dev060 → Dev065 → Dev095 → Port002,865827079072971,8965012306052373985,+6597817169,Singtel Singtel
4,001,008,Dev001 → Dev057 → Dev060 → Dev062 → Dev071 → Port004,865827079002895,89860123801377761568,+8613121558009,Singtel
5,001,010,Dev001 → Dev057 → Dev059 → Dev067 → Dev117 → Port002,865827079030680,89860324247522003125,+8618026633061,Singtel
6,001,011,Dev001 → Dev057 → Dev059 → Dev061 → Dev100 → Port002,865827079001178,898600520123F0019962,+8613520853194,Singtel CMCC
8,001,013,Dev001 → Dev057 → Dev059 → Dev061 → Dev085 → Port004,865827078940897,898600810118F0075985,+8613810113104,Singtel CMCC
9,001,014,Dev001 → Dev057 → Dev059 → Dev063 → Dev122 → Port001,865827079067088,8965030124051507919,+6590421798,SGP-M1
10,001,015,Dev001 → Dev057 → Dev059 → Dev063 → Dev104 → Port002,865827079073458,8965012306052989673,+6580282279,Singtel Singtel
11,001,017,Dev001 → Dev057 → Dev059 → Dev067 → Dev075 → Port004,865827078941242,898600810118F0075991,+8613810113124,Singtel CMCC
12,001,018,Dev001 → Dev057 → Dev059 → Dev063 → Dev076 → Port004,865827079073474,8965012306052989715,+6580286158,Singtel Singtel
13,001,019,Dev001 → Dev057 → Dev060 → Dev065 → Dev002 → Port001,865827078990942,898600810118F0075995,+8613810113243,Singtel CMCC
14,001,020,Dev001 → Dev057 → Dev060 → Dev062 → Dev109 → Port003,865827078383312,89860000191897457594,+8613928328112,Singtel CMCC
15,001,021,Dev001 → Dev057 → Dev060 → Dev065 → Dev110 → Port002,865827078941788,898600210123F0018624,+8615010735791,Singtel CMCC
16,001,022,Dev001 → Dev057 → Dev060 → Dev062 → Dev094 → Port003,865827078383387,89860122802142937419,+8618500339209,StarHub
17,001,023,Dev001 → Dev057 → Dev060 → Dev065 → Dev095 → Port003,869604084788693,89860117801159733478,+8617600604190,Singtel
18,001,024,Dev001 → Dev057 → Dev060 → Dev065 → Dev081 → Port004,865827079073318,8965012306052989707,+6580284821,Singtel Singtel
19,001,025,Dev001 → Dev057 → Dev059 → Dev067 → Dev009 → Port001,865827079001152,8965012211290057038,+6592953543,Singtel Singtel
20,001,026,Dev001 → Dev057 → Dev059 → Dev067 → Dev117 → Port004,865827079073482,8965012306052989681,+6580289164,Singtel Singtel
21,001,027,Dev001 → Dev057 → Dev059 → Dev061 → Dev100 → Port003,865827079073110,8965012211290056949,+6591143685,Singtel Singtel
22,001,028,Dev001 → Dev057 → Dev059 → Dev063 → Dev122 → Port002,865827078941580,89860122801373816441,+8618573562112,Singtel
23,001,029,Dev001 → Dev057 → Dev059 → Dev063 → Dev088 → Port004,865827078904224,89860122801620066246,+8618601982453,Singtel
24,001,030,Dev001 → Dev057 → Dev060 → Dev062 → Dev109 → Port004,865827078973468,89852122111066626330,+85246708256,StarHub CMHK
25,001,031,Dev001 → Dev057 → Dev060 → Dev065 → Dev110 → Port004,865827078996188,898600210123F0018622,+8615010747746,Singtel CMCC
26,001,032,Dev001 → Dev057 → Dev060 → Dev062 → Dev094 → Port004,865827078376944,89860118803426394158,+8615627135533,Singtel
27,001,034,Dev001 → Dev057 → Dev059 → Dev067 → Dev009 → Port003,865827078377405,89860117811039434858,+8618614225110,Singtel
28,001,035,Dev001 → Dev057 → Dev059 → Dev061 → Dev100 → Port004,865827078970050,898600810118F0075976,+8613810113094,Singtel CMCC
29,001,036,Dev001 → Dev057 → Dev059 → Dev063 → Dev122 → Port003,865827078383395,89860118803066661072,+8618612727588,Singtel
30,001,037,Dev001 → Dev057 → Dev059 → Dev067 → Dev009 → Port004,865827078941697,898600110125F0005745,,SGP-M1 CMCC
31,001,040,Dev001 → Dev057 → Dev059 → Dev063 → Dev088 → Port003,865827079073391,8965012211290057004,+6596414890,Singtel Singtel
32,001,042,Dev001 → Dev057 → Dev059 → Dev067 → Dev075 → Port001,865827078941317,89860123801033340435,+8613162215697,Singtel
33,001,043,Dev001 → Dev057 → Dev059 → Dev067 → Dev101 → Port001,865827079073193,8965012211290057046,+6591252034,Singtel Singtel
34,001,045,Dev001 → Dev057 → Dev059 → Dev063 → Dev122 → Port004,865827078989076,8965012306052577791,+6598346215,Singtel Singtel
35,001,047,Dev001 → Dev057 → Dev060 → Dev065 → Dev002 → Port003,865827078941341,898600110122F0009638,+8615810920961,Singtel CMCC
36,001,070,Dev001 → Dev057 → Dev059 → Dev061 → Dev064 → Port002,865827078903549,89860117801282765439,8613075286865,Singtel
37,001,073,Dev001 → Dev057 → Dev060 → Dev062 → Dev066 → Port003,865827078973013,8965012306052989731,+6580309673,Singtel Singtel
38,001,077,Dev001 → Dev057 → Dev059 → Dev061 → Dev068 → Port002,865827078940848,89860122801373816482,+8615573563178,StarHub
39,001,078,Dev001 → Dev057 → Dev059 → Dev063 → Dev069 → Port001,865827078411345,89860118803322023836,+8613288140961,Singtel
40,001,079,Dev001 → Dev057 → Dev059 → Dev061 → Dev064 → Port003,865827078941283,898600550122F0077148,+8613552293194,Singtel CMCC
41,001,082,Dev001 → Dev057 → Dev060 → Dev062 → Dev071 → Port001,865827078378841,89860040191833946266,+8615089255335,Singtel CMCC
42,001,083,Dev001 → Dev057 → Dev060 → Dev065 → Dev072 → Port001,865827078383254,89860117811048355094,+8618613803341,Singtel
43,001,084,Dev001 → Dev057 → Dev060 → Dev062 → Dev066 → Port004,869604084768463,89860117811049221139,+8617600419127,StarHub
44,001,087,Dev001 → Dev057 → Dev059 → Dev061 → Dev074 → Port004,865827078376985,89860118803452905448,+8613265143993,Singtel
45,001,090,Dev001 → Dev057 → Dev059 → Dev063 → Dev076 → Port001,865827078913795,898600811922C5125657,+8613433506146,Singtel CMCC
46,001,091,Dev001 → Dev057 → Dev059 → Dev061 → Dev068 → Port004,865827079088241,8965012306052989640,+6580283723,Singtel Singtel
47,001,092,Dev001 → Dev057 → Dev059 → Dev063 → Dev069 → Port002,865827079073417,8965012306052579276,+6598630587,Singtel Singtel
48,001,093,Dev001 → Dev057 → Dev059 → Dev061 → Dev064 → Port004,865827078941291,898600110122F0072004,+8615810653831,Singtel CMCC
49,001,096,Dev001 → Dev057 → Dev060 → Dev062 → Dev080 → Port002,865827078895349,89860122801362457397,+8618518363309,Singtel
50,001,097,Dev001 → Dev057 → Dev060 → Dev065 → Dev081 → Port001,865827079000774,89860122801620066253,8613146926709,Singtel
52,001,099,Dev001 → Dev057 → Dev060 → Dev065 → Dev072 → Port003,865827078933934,89860122801362457389,+8618518362691,Singtel
53,001,102,Dev001 → Dev057 → Dev059 → Dev061 → Dev085 → Port001,865827079001087,89860122801373817407,+8616670528580,StarHub
54,001,103,Dev001 → Dev057 → Dev059 → Dev067 → Dev086 → Port001,869604084781482,898600520121F0517883,+8613520607015,SGP-M1 CMCC
55,001,105,Dev001 → Dev057 → Dev059 → Dev063 → Dev088 → Port001,865827078377066,89860117801716597135,+8613005733632,Singtel
56,001,106,Dev001 → Dev057 → Dev059 → Dev067 → Dev075 → Port002,869604084791069,89860124801233878738,+8617600642068,Singtel
57,001,107,Dev001 → Dev057 → Dev059 → Dev063 → Dev076 → Port002,865827078401924,89860122802142937476,+8617611601788,StarHub
58,001,108,Dev001 → Dev057 → Dev059 → Dev063 → Dev069 → Port003,865827079001160,89860121507480069243,+8618573573517,Singtel
59,001,111,Dev001 → Dev057 → Dev060 → Dev062 → Dev094 → Port001,865827078378908,89860116811004358216,+8618610290441,StarHub
60,001,112,Dev001 → Dev057 → Dev060 → Dev065 → Dev095 → Port001,865827078402047,89860117965700066942,+8613126368136,Singtel
61,001,113,Dev001 → Dev057 → Dev060 → Dev062 → Dev080 → Port004,865827078896149,898600811922C5125654,+8613414798409,Singtel CMCC
62,001,114,Dev001 → Dev057 → Dev060 → Dev065 → Dev081 → Port002,865827078941275,898600110122F0070826,+8615811250585,Singtel CMCC
63,001,115,Dev001 → Dev057 → Dev060 → Dev062 → Dev071 → Port003,865827078942505,8965012306052576256,+6598361684,Singtel Singtel
64,001,116,Dev001 → Dev057 → Dev060 → Dev065 → Dev072 → Port004,865827078924354,898600110122F0009637,+8615810920390,Singtel CMCC
65,001,118,Dev001 → Dev057 → Dev059 → Dev061 → Dev100 → Port001,865827079001046,89860080192245965420,+8613692844044,Singtel CMCC
66,001,120,Dev001 → Dev057 → Dev059 → Dev061 → Dev085 → Port002,869604084750008,89860117811049221097,+8617600645518,Singtel
69,001,124,Dev001 → Dev057 → Dev059 → Dev063 → Dev088 → Port002,865827078402021,89860000191897457588,+8613927301363,Singtel CMCC
70,001,125,Dev001 → Dev057 → Dev059 → Dev067 → Dev075 → Port003,865827079030235,8965012306052989665,+6580299172,Singtel Singtel
71,001,126,Dev001 → Dev057 → Dev059 → Dev063 → Dev076 → Port003,865827078895711,89860122801362457413,+8618518360987,Singtel
72,001,127,Dev001 → Dev057 → Dev059 → Dev063 → Dev069 → Port004,865827079072385,8965030124051507927,+6591936675,SGP-M1
73,,,UNKNOWN,865827079073235,8965012306052580191,+6598625361,Singtel Singtel
